Country or Area,Item,Year,Value
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1970,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1971,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1972,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1973,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1974,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1975,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1976,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1977,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1978,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1979,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1980,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1981,
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1982,29.4676784200637
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1983,30.4404759968107
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1984,28.9259613357402
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1985,27.45662887264
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1986,27.8741676938984
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1987,28.583957702857
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1988,28.3668720632217
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1989,28.1888794937222
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1990,28.0579037267189
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1991,26.8343601731506
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1992,29.1793099209288
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1993,28.0707283153107
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1994,28.2589497297501
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1995,27.7640164846875
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1996,27.6939619790607
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1997,26.9263949551322
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1998,26.0647777771752
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),1999,25.91635230281
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2000,26.9118856351312
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2001,26.868353695859
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2002,27.4567080824634
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2003,26.7054271368453
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2004,27.0174952710389
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2005,27.9677411626838
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2006,28.0497959062014
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2007,29.2234023262329
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2008,30.6709501946005
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2009,26.6410312366747
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2010,27.451616763847
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2011,28.4888456945441
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2012,28.2309582879046
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2013,27.6451629524274
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2014,26.9184958477743
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2015,24.8682392043171
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2016,24.4860812570894
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2017,24.5610838946003
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2018,26.7816472832736
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2019,26.3854810298806
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2020,25.3805735714509
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2021,25.9835223665631
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2022,26.8218510282443
Africa Eastern and Southern,Industry (including construction), value added (% of GDP),2023,
Afghanistan,Industry (including construction), value added (% of GDP),1960,
Afghanistan,Industry (including construction), value added (% of GDP),1961,
Afghanistan,Industry (including construction), value added (% of GDP),1962,
Afghanistan,Industry (including construction), value added (% of GDP),1963,
Afghanistan,Industry (including construction), value added (% of GDP),1964,
Afghanistan,Industry (including construction), value added (% of GDP),1965,
Afghanistan,Industry (including construction), value added (% of GDP),1966,
Afghanistan,Industry (including construction), value added (% of GDP),1967,
Afghanistan,Industry (including construction), value added (% of GDP),1968,
Afghanistan,Industry (including construction), value added (% of GDP),1969,
Afghanistan,Industry (including construction), value added (% of GDP),1970,
Afghanistan,Industry (including construction), value added (% of GDP),1971,
Afghanistan,Industry (including construction), value added (% of GDP),1972,
Afghanistan,Industry (including construction), value added (% of GDP),1973,
Afghanistan,Industry (including construction), value added (% of GDP),1974,
Afghanistan,Industry (including construction), value added (% of GDP),1975,
Afghanistan,Industry (including construction), value added (% of GDP),1976,
Afghanistan,Industry (including construction), value added (% of GDP),1977,
Afghanistan,Industry (including construction), value added (% of GDP),1978,
Afghanistan,Industry (including construction), value added (% of GDP),1979,
Afghanistan,Industry (including construction), value added (% of GDP),1980,
Afghanistan,Industry (including construction), value added (% of GDP),1981,
Afghanistan,Industry (including construction), value added (% of GDP),1982,
Afghanistan,Industry (including construction), value added (% of GDP),1983,
Afghanistan,Industry (including construction), value added (% of GDP),1984,
Afghanistan,Industry (including construction), value added (% of GDP),1985,
Afghanistan,Industry (including construction), value added (% of GDP),1986,
Afghanistan,Industry (including construction), value added (% of GDP),1987,
Afghanistan,Industry (including construction), value added (% of GDP),1988,
Afghanistan,Industry (including construction), value added (% of GDP),1989,
Afghanistan,Industry (including construction), value added (% of GDP),1990,
Afghanistan,Industry (including construction), value added (% of GDP),1991,
Afghanistan,Industry (including construction), value added (% of GDP),1992,
Afghanistan,Industry (including construction), value added (% of GDP),1993,
Afghanistan,Industry (including construction), value added (% of GDP),1994,
Afghanistan,Industry (including construction), value added (% of GDP),1995,
Afghanistan,Industry (including construction), value added (% of GDP),1996,
Afghanistan,Industry (including construction), value added (% of GDP),1997,
Afghanistan,Industry (including construction), value added (% of GDP),1998,
Afghanistan,Industry (including construction), value added (% of GDP),1999,
Afghanistan,Industry (including construction), value added (% of GDP),2000,
Afghanistan,Industry (including construction), value added (% of GDP),2001,
Afghanistan,Industry (including construction), value added (% of GDP),2002,23.8101270064854
Afghanistan,Industry (including construction), value added (% of GDP),2003,22.7108641828326
Afghanistan,Industry (including construction), value added (% of GDP),2004,26.2267897500666
Afghanistan,Industry (including construction), value added (% of GDP),2005,26.8120992326398
Afghanistan,Industry (including construction), value added (% of GDP),2006,28.2107680719994
Afghanistan,Industry (including construction), value added (% of GDP),2007,26.8822416082148
Afghanistan,Industry (including construction), value added (% of GDP),2008,26.9156280026285
Afghanistan,Industry (including construction), value added (% of GDP),2009,21.8971222069406
Afghanistan,Industry (including construction), value added (% of GDP),2010,21.1514206977128
Afghanistan,Industry (including construction), value added (% of GDP),2011,22.7402524820273
Afghanistan,Industry (including construction), value added (% of GDP),2012,21.1578071539751
Afghanistan,Industry (including construction), value added (% of GDP),2013,20.4446053132561
Afghanistan,Industry (including construction), value added (% of GDP),2014,21.2296632181805
Afghanistan,Industry (including construction), value added (% of GDP),2015,22.1240424906926
Afghanistan,Industry (including construction), value added (% of GDP),2016,10.4668076938201
Afghanistan,Industry (including construction), value added (% of GDP),2017,10.0518739969063
Afghanistan,Industry (including construction), value added (% of GDP),2018,13.3872469597976
Afghanistan,Industry (including construction), value added (% of GDP),2019,14.0581123697768
Afghanistan,Industry (including construction), value added (% of GDP),2020,12.9525996015547
Afghanistan,Industry (including construction), value added (% of GDP),2021,14.2736570191788
Afghanistan,Industry (including construction), value added (% of GDP),2022,
Afghanistan,Industry (including construction), value added (% of GDP),2023,
Africa Western and Central,Industry (including construction), value added (% of GDP),1960,
Africa Western and Central,Industry (including construction), value added (% of GDP),1961,
Africa Western and Central,Industry (including construction), value added (% of GDP),1962,
Africa Western and Central,Industry (including construction), value added (% of GDP),1963,
Africa Western and Central,Industry (including construction), value added (% of GDP),1964,
Africa Western and Central,Industry (including construction), value added (% of GDP),1965,
Africa Western and Central,Industry (including construction), value added (% of GDP),1966,
Africa Western and Central,Industry (including construction), value added (% of GDP),1967,
Africa Western and Central,Industry (including construction), value added (% of GDP),1968,
Africa Western and Central,Industry (including construction), value added (% of GDP),1969,
Africa Western and Central,Industry (including construction), value added (% of GDP),1970,
Africa Western and Central,Industry (including construction), value added (% of GDP),1971,
Africa Western and Central,Industry (including construction), value added (% of GDP),1972,
Africa Western and Central,Industry (including construction), value added (% of GDP),1973,
Africa Western and Central,Industry (including construction), value added (% of GDP),1974,
Africa Western and Central,Industry (including construction), value added (% of GDP),1975,
Africa Western and Central,Industry (including construction), value added (% of GDP),1976,
Africa Western and Central,Industry (including construction), value added (% of GDP),1977,
Africa Western and Central,Industry (including construction), value added (% of GDP),1978,
Africa Western and Central,Industry (including construction), value added (% of GDP),1979,
Africa Western and Central,Industry (including construction), value added (% of GDP),1980,
Africa Western and Central,Industry (including construction), value added (% of GDP),1981,39.2180703283304
Africa Western and Central,Industry (including construction), value added (% of GDP),1982,35.4114124778795
Africa Western and Central,Industry (including construction), value added (% of GDP),1983,34.4254148847563
Africa Western and Central,Industry (including construction), value added (% of GDP),1984,31.655752847355
Africa Western and Central,Industry (including construction), value added (% of GDP),1985,34.0833401762088
Africa Western and Central,Industry (including construction), value added (% of GDP),1986,31.2755089273256
Africa Western and Central,Industry (including construction), value added (% of GDP),1987,30.6572632619699
Africa Western and Central,Industry (including construction), value added (% of GDP),1988,29.5876643902543
Africa Western and Central,Industry (including construction), value added (% of GDP),1989,31.281858527738
Africa Western and Central,Industry (including construction), value added (% of GDP),1990,32.5124002854578
Africa Western and Central,Industry (including construction), value added (% of GDP),1991,33.0206320937229
Africa Western and Central,Industry (including construction), value added (% of GDP),1992,32.4470604590217
Africa Western and Central,Industry (including construction), value added (% of GDP),1993,31.0613592669107
Africa Western and Central,Industry (including construction), value added (% of GDP),1994,31.7621586323293
Africa Western and Central,Industry (including construction), value added (% of GDP),1995,35.901847330888
Africa Western and Central,Industry (including construction), value added (% of GDP),1996,36.4987875527567
Africa Western and Central,Industry (including construction), value added (% of GDP),1997,35.0488850557266
Africa Western and Central,Industry (including construction), value added (% of GDP),1998,29.3203083724308
Africa Western and Central,Industry (including construction), value added (% of GDP),1999,28.1184579973067
Africa Western and Central,Industry (including construction), value added (% of GDP),2000,32.0306313718463
Africa Western and Central,Industry (including construction), value added (% of GDP),2001,28.040761601649
Africa Western and Central,Industry (including construction), value added (% of GDP),2002,25.2568726262121
Africa Western and Central,Industry (including construction), value added (% of GDP),2003,27.3164073320448
Africa Western and Central,Industry (including construction), value added (% of GDP),2004,29.1541011978527
Africa Western and Central,Industry (including construction), value added (% of GDP),2005,29.5590712230616
Africa Western and Central,Industry (including construction), value added (% of GDP),2006,28.0228788337884
Africa Western and Central,Industry (including construction), value added (% of GDP),2007,26.9255341270085
Africa Western and Central,Industry (including construction), value added (% of GDP),2008,27.9783754023541
Africa Western and Central,Industry (including construction), value added (% of GDP),2009,24.4797802984883
Africa Western and Central,Industry (including construction), value added (% of GDP),2010,27.2103429530066
Africa Western and Central,Industry (including construction), value added (% of GDP),2011,30.190489223866
Africa Western and Central,Industry (including construction), value added (% of GDP),2012,29.5698290362231
Africa Western and Central,Industry (including construction), value added (% of GDP),2013,28.6422315337429
Africa Western and Central,Industry (including construction), value added (% of GDP),2014,27.2498265364518
Africa Western and Central,Industry (including construction), value added (% of GDP),2015,22.9725891068998
Africa Western and Central,Industry (including construction), value added (% of GDP),2016,21.4651637419849
Africa Western and Central,Industry (including construction), value added (% of GDP),2017,24.3482793732355
Africa Western and Central,Industry (including construction), value added (% of GDP),2018,26.6254041633612
Africa Western and Central,Industry (including construction), value added (% of GDP),2019,27.5010196654194
Africa Western and Central,Industry (including construction), value added (% of GDP),2020,27.2413821146431
Africa Western and Central,Industry (including construction), value added (% of GDP),2021,29.4054823618786
Africa Western and Central,Industry (including construction), value added (% of GDP),2022,30.0590327280184
Africa Western and Central,Industry (including construction), value added (% of GDP),2023,
Angola,Industry (including construction), value added (% of GDP),1960,
Angola,Industry (including construction), value added (% of GDP),1961,
Angola,Industry (including construction), value added (% of GDP),1962,
Angola,Industry (including construction), value added (% of GDP),1963,
Angola,Industry (including construction), value added (% of GDP),1964,
Angola,Industry (including construction), value added (% of GDP),1965,
Angola,Industry (including construction), value added (% of GDP),1966,
Angola,Industry (including construction), value added (% of GDP),1967,
Angola,Industry (including construction), value added (% of GDP),1968,
Angola,Industry (including construction), value added (% of GDP),1969,
Angola,Industry (including construction), value added (% of GDP),1970,
Angola,Industry (including construction), value added (% of GDP),1971,
Angola,Industry (including construction), value added (% of GDP),1972,
Angola,Industry (including construction), value added (% of GDP),1973,
Angola,Industry (including construction), value added (% of GDP),1974,
Angola,Industry (including construction), value added (% of GDP),1975,
Angola,Industry (including construction), value added (% of GDP),1976,
Angola,Industry (including construction), value added (% of GDP),1977,
Angola,Industry (including construction), value added (% of GDP),1978,
Angola,Industry (including construction), value added (% of GDP),1979,
Angola,Industry (including construction), value added (% of GDP),1980,
Angola,Industry (including construction), value added (% of GDP),1981,
Angola,Industry (including construction), value added (% of GDP),1982,
Angola,Industry (including construction), value added (% of GDP),1983,
Angola,Industry (including construction), value added (% of GDP),1984,
Angola,Industry (including construction), value added (% of GDP),1985,
Angola,Industry (including construction), value added (% of GDP),1986,
Angola,Industry (including construction), value added (% of GDP),1987,
Angola,Industry (including construction), value added (% of GDP),1988,
Angola,Industry (including construction), value added (% of GDP),1989,
Angola,Industry (including construction), value added (% of GDP),1990,
Angola,Industry (including construction), value added (% of GDP),1991,
Angola,Industry (including construction), value added (% of GDP),1992,
Angola,Industry (including construction), value added (% of GDP),1993,
Angola,Industry (including construction), value added (% of GDP),1994,
Angola,Industry (including construction), value added (% of GDP),1995,60.2851757873636
Angola,Industry (including construction), value added (% of GDP),1996,67.8206759362436
Angola,Industry (including construction), value added (% of GDP),1997,60.757741389497
Angola,Industry (including construction), value added (% of GDP),1998,55.1572893027623
Angola,Industry (including construction), value added (% of GDP),1999,72.7173723137849
Angola,Industry (including construction), value added (% of GDP),2000,72.1229549419033
Angola,Industry (including construction), value added (% of GDP),2001,64.8838115415289
Angola,Industry (including construction), value added (% of GDP),2002,56.0757965388459
Angola,Industry (including construction), value added (% of GDP),2003,53.1169977877105
Angola,Industry (including construction), value added (% of GDP),2004,54.6299332781384
Angola,Industry (including construction), value added (% of GDP),2005,60.4019934569532
Angola,Industry (including construction), value added (% of GDP),2006,58.109331166465
Angola,Industry (including construction), value added (% of GDP),2007,61.8835378515421
Angola,Industry (including construction), value added (% of GDP),2008,60.2548203971699
Angola,Industry (including construction), value added (% of GDP),2009,44.0563741288187
Angola,Industry (including construction), value added (% of GDP),2010,52.3684375791632
Angola,Industry (including construction), value added (% of GDP),2011,56.0265138898967
Angola,Industry (including construction), value added (% of GDP),2012,56.9182189644947
Angola,Industry (including construction), value added (% of GDP),2013,53.3628521772331
Angola,Industry (including construction), value added (% of GDP),2014,46.2033255675024
Angola,Industry (including construction), value added (% of GDP),2015,41.9330921928439
Angola,Industry (including construction), value added (% of GDP),2016,42.6435678702129
Angola,Industry (including construction), value added (% of GDP),2017,42.1679537698985
Angola,Industry (including construction), value added (% of GDP),2018,47.9315418514046
Angola,Industry (including construction), value added (% of GDP),2019,49.7609216143959
Angola,Industry (including construction), value added (% of GDP),2020,45.6782423367558
Angola,Industry (including construction), value added (% of GDP),2021,47.5244095549704
Angola,Industry (including construction), value added (% of GDP),2022,44.8763995482735
Angola,Industry (including construction), value added (% of GDP),2023,
Albania,Industry (including construction), value added (% of GDP),1960,
Albania,Industry (including construction), value added (% of GDP),1961,
Albania,Industry (including construction), value added (% of GDP),1962,
Albania,Industry (including construction), value added (% of GDP),1963,
Albania,Industry (including construction), value added (% of GDP),1964,
Albania,Industry (including construction), value added (% of GDP),1965,
Albania,Industry (including construction), value added (% of GDP),1966,
Albania,Industry (including construction), value added (% of GDP),1967,
Albania,Industry (including construction), value added (% of GDP),1968,
Albania,Industry (including construction), value added (% of GDP),1969,
Albania,Industry (including construction), value added (% of GDP),1970,
Albania,Industry (including construction), value added (% of GDP),1971,
Albania,Industry (including construction), value added (% of GDP),1972,
Albania,Industry (including construction), value added (% of GDP),1973,
Albania,Industry (including construction), value added (% of GDP),1974,
Albania,Industry (including construction), value added (% of GDP),1975,
Albania,Industry (including construction), value added (% of GDP),1976,
Albania,Industry (including construction), value added (% of GDP),1977,
Albania,Industry (including construction), value added (% of GDP),1978,
Albania,Industry (including construction), value added (% of GDP),1979,
Albania,Industry (including construction), value added (% of GDP),1980,
Albania,Industry (including construction), value added (% of GDP),1981,
Albania,Industry (including construction), value added (% of GDP),1982,
Albania,Industry (including construction), value added (% of GDP),1983,
Albania,Industry (including construction), value added (% of GDP),1984,
Albania,Industry (including construction), value added (% of GDP),1985,
Albania,Industry (including construction), value added (% of GDP),1986,
Albania,Industry (including construction), value added (% of GDP),1987,
Albania,Industry (including construction), value added (% of GDP),1988,
Albania,Industry (including construction), value added (% of GDP),1989,
Albania,Industry (including construction), value added (% of GDP),1990,
Albania,Industry (including construction), value added (% of GDP),1991,
Albania,Industry (including construction), value added (% of GDP),1992,
Albania,Industry (including construction), value added (% of GDP),1993,
Albania,Industry (including construction), value added (% of GDP),1994,
Albania,Industry (including construction), value added (% of GDP),1995,
Albania,Industry (including construction), value added (% of GDP),1996,17.3738406921901
Albania,Industry (including construction), value added (% of GDP),1997,18.1097656674433
Albania,Industry (including construction), value added (% of GDP),1998,15.3468382322371
Albania,Industry (including construction), value added (% of GDP),1999,16.5367430578412
Albania,Industry (including construction), value added (% of GDP),2000,19.3956891374484
Albania,Industry (including construction), value added (% of GDP),2001,21.7357737789933
Albania,Industry (including construction), value added (% of GDP),2002,23.10636959577
Albania,Industry (including construction), value added (% of GDP),2003,24.055608509483
Albania,Industry (including construction), value added (% of GDP),2004,24.6655622675068
Albania,Industry (including construction), value added (% of GDP),2005,25.0816065897088
Albania,Industry (including construction), value added (% of GDP),2006,25.3080259185205
Albania,Industry (including construction), value added (% of GDP),2007,25.3403319220157
Albania,Industry (including construction), value added (% of GDP),2008,25.1610103305709
Albania,Industry (including construction), value added (% of GDP),2009,24.4137783931968
Albania,Industry (including construction), value added (% of GDP),2010,24.9374619346668
Albania,Industry (including construction), value added (% of GDP),2011,24.4844782196853
Albania,Industry (including construction), value added (% of GDP),2012,22.9185533432722
Albania,Industry (including construction), value added (% of GDP),2013,23.0613168520051
Albania,Industry (including construction), value added (% of GDP),2014,21.5088457362369
Albania,Industry (including construction), value added (% of GDP),2015,21.7636809971645
Albania,Industry (including construction), value added (% of GDP),2016,21.1419653523072
Albania,Industry (including construction), value added (% of GDP),2017,20.3584083577153
Albania,Industry (including construction), value added (% of GDP),2018,21.2794101864807
Albania,Industry (including construction), value added (% of GDP),2019,20.6196548783662
Albania,Industry (including construction), value added (% of GDP),2020,20.1145301950871
Albania,Industry (including construction), value added (% of GDP),2021,20.7469849089846
Albania,Industry (including construction), value added (% of GDP),2022,21.3944061535612
Albania,Industry (including construction), value added (% of GDP),2023,
Andorra,Industry (including construction), value added (% of GDP),1960,
Andorra,Industry (including construction), value added (% of GDP),1961,
Andorra,Industry (including construction), value added (% of GDP),1962,
Andorra,Industry (including construction), value added (% of GDP),1963,
Andorra,Industry (including construction), value added (% of GDP),1964,
Andorra,Industry (including construction), value added (% of GDP),1965,
Andorra,Industry (including construction), value added (% of GDP),1966,
Andorra,Industry (including construction), value added (% of GDP),1967,
Andorra,Industry (including construction), value added (% of GDP),1968,
Andorra,Industry (including construction), value added (% of GDP),1969,
Andorra,Industry (including construction), value added (% of GDP),1970,
Andorra,Industry (including construction), value added (% of GDP),1971,
Andorra,Industry (including construction), value added (% of GDP),1972,
Andorra,Industry (including construction), value added (% of GDP),1973,
Andorra,Industry (including construction), value added (% of GDP),1974,
Andorra,Industry (including construction), value added (% of GDP),1975,
Andorra,Industry (including construction), value added (% of GDP),1976,
Andorra,Industry (including construction), value added (% of GDP),1977,
Andorra,Industry (including construction), value added (% of GDP),1978,
Andorra,Industry (including construction), value added (% of GDP),1979,
Andorra,Industry (including construction), value added (% of GDP),1980,
Andorra,Industry (including construction), value added (% of GDP),1981,
Andorra,Industry (including construction), value added (% of GDP),1982,
Andorra,Industry (including construction), value added (% of GDP),1983,
Andorra,Industry (including construction), value added (% of GDP),1984,
Andorra,Industry (including construction), value added (% of GDP),1985,
Andorra,Industry (including construction), value added (% of GDP),1986,
Andorra,Industry (including construction), value added (% of GDP),1987,
Andorra,Industry (including construction), value added (% of GDP),1988,
Andorra,Industry (including construction), value added (% of GDP),1989,
Andorra,Industry (including construction), value added (% of GDP),1990,
Andorra,Industry (including construction), value added (% of GDP),1991,
Andorra,Industry (including construction), value added (% of GDP),1992,
Andorra,Industry (including construction), value added (% of GDP),1993,
Andorra,Industry (including construction), value added (% of GDP),1994,
Andorra,Industry (including construction), value added (% of GDP),1995,
Andorra,Industry (including construction), value added (% of GDP),1996,
Andorra,Industry (including construction), value added (% of GDP),1997,
Andorra,Industry (including construction), value added (% of GDP),1998,
Andorra,Industry (including construction), value added (% of GDP),1999,
Andorra,Industry (including construction), value added (% of GDP),2000,14.8437550367806
Andorra,Industry (including construction), value added (% of GDP),2001,14.9240176087095
Andorra,Industry (including construction), value added (% of GDP),2002,15.0672890885022
Andorra,Industry (including construction), value added (% of GDP),2003,15.4949366544165
Andorra,Industry (including construction), value added (% of GDP),2004,15.7803540103879
Andorra,Industry (including construction), value added (% of GDP),2005,16.0357828783728
Andorra,Industry (including construction), value added (% of GDP),2006,16.1672951911525
Andorra,Industry (including construction), value added (% of GDP),2007,15.4735314793076
Andorra,Industry (including construction), value added (% of GDP),2008,15.4327671138582
Andorra,Industry (including construction), value added (% of GDP),2009,14.7664887100921
Andorra,Industry (including construction), value added (% of GDP),2010,13.1256460606154
Andorra,Industry (including construction), value added (% of GDP),2011,11.908853107908
Andorra,Industry (including construction), value added (% of GDP),2012,11.0715796683925
Andorra,Industry (including construction), value added (% of GDP),2013,10.6182471491429
Andorra,Industry (including construction), value added (% of GDP),2014,10.1535313011382
Andorra,Industry (including construction), value added (% of GDP),2015,9.98126871637019
Andorra,Industry (including construction), value added (% of GDP),2016,10.1407794073814
Andorra,Industry (including construction), value added (% of GDP),2017,10.3955176672591
Andorra,Industry (including construction), value added (% of GDP),2018,11.0763337210625
Andorra,Industry (including construction), value added (% of GDP),2019,11.6998176283166
Andorra,Industry (including construction), value added (% of GDP),2020,12.6601582717327
Andorra,Industry (including construction), value added (% of GDP),2021,12.3657061543935
Andorra,Industry (including construction), value added (% of GDP),2022,11.921568627451
Andorra,Industry (including construction), value added (% of GDP),2023,
Arab World,Industry (including construction), value added (% of GDP),1960,
Arab World,Industry (including construction), value added (% of GDP),1961,
Arab World,Industry (including construction), value added (% of GDP),1962,
Arab World,Industry (including construction), value added (% of GDP),1963,
Arab World,Industry (including construction), value added (% of GDP),1964,
Arab World,Industry (including construction), value added (% of GDP),1965,
Arab World,Industry (including construction), value added (% of GDP),1966,
